Thoi_gian,Ten_do_vat,So_luong
2025-09-28 11:27:09,Chai,1
2025-09-28 11:27:14,Nguoi,2
2025-09-28 11:27:14,Dieu khien tu xa,1
2025-09-28 11:27:14,Dien thoai,1
2025-09-28 11:27:14,Chai,1
2025-09-28 11:27:19,Nguoi,2
2025-09-28 11:27:19,Dieu khien tu xa,1
2025-09-28 11:27:19,Dien thoai,1
2025-09-28 11:27:19,Chai,1
2025-09-28 11:27:24,Nguoi,2
2025-09-28 11:27:24,Dieu khien tu xa,1
2025-09-28 11:27:24,Dien thoai,1
2025-09-28 11:27:24,Chai,1
2025-09-28 11:27:29,Nguoi,2
2025-09-28 11:27:29,Dieu khien tu xa,1
2025-09-28 11:27:29,Dien thoai,1
2025-09-28 11:27:29,Chai,1
2025-09-28 11:27:34,Nguoi,2
2025-09-28 11:27:34,Dieu khien tu xa,1
2025-09-28 11:27:34,Dien thoai,1
2025-09-28 11:27:34,Chai,1
2025-09-28 11:27:39,Nguoi,2
2025-09-28 11:27:39,Dieu khien tu xa,1
2025-09-28 11:27:39,Dien thoai,1
2025-09-28 11:27:39,Chai,1
2025-09-28 11:27:44,Nguoi,2
2025-09-28 11:27:44,Dieu khien tu xa,1
2025-09-28 11:27:44,Dien thoai,1
2025-09-28 11:27:44,Chai,1
2025-09-28 11:27:49,Nguoi,2
2025-09-28 11:27:49,Dieu khien tu xa,1
2025-09-28 11:27:49,Dien thoai,1
2025-09-28 11:27:49,Chai,1
2025-09-28 11:27:54,Nguoi,2
2025-09-28 11:27:54,Dieu khien tu xa,1
2025-09-28 11:27:54,Dien thoai,1
2025-09-28 11:27:54,Chai,1
2025-09-28 11:27:59,Nguoi,2
2025-09-28 11:27:59,Dieu khien tu xa,1
2025-09-28 11:27:59,Dien thoai,1
2025-09-28 11:27:59,Chai,1
2025-09-28 11:28:04,Nguoi,2
2025-09-28 11:28:04,Dieu khien tu xa,1
2025-09-28 11:28:04,Dien thoai,1
2025-09-28 11:28:04,Chai,1
2025-09-28 11:28:09,Nguoi,2
2025-09-28 11:28:09,Dieu khien tu xa,1
2025-09-28 11:28:09,Dien thoai,1
2025-09-28 11:28:09,Chai,1
2025-09-28 11:28:14,Nguoi,2
2025-09-28 11:28:14,Dieu khien tu xa,1
2025-09-28 11:28:14,Dien thoai,1
2025-09-28 11:28:14,Chai,1
2025-09-28 11:28:19,Nguoi,2
2025-09-28 11:28:19,Dieu khien tu xa,1
2025-09-28 11:28:19,Dien thoai,1
2025-09-28 11:28:19,Chai,1
2025-09-28 11:28:24,Nguoi,1
2025-09-28 11:28:30,Nguoi,1
2025-09-28 11:28:35,Nguoi,1
2025-09-28 11:28:40,Nguoi,1
2025-09-28 11:28:40,Dien thoai,1
2025-09-28 11:28:45,Nguoi,1
2025-09-28 11:28:45,Dien thoai,1
2025-09-28 11:28:50,Nguoi,1
2025-09-28 11:28:50,Dien thoai,1
2025-09-28 11:28:55,Nguoi,1
2025-09-28 11:28:55,Dien thoai,1
2025-09-28 11:29:00,Nguoi,1
2025-09-28 11:29:00,Dien thoai,1
2025-09-28 11:29:05,Nguoi,1
2025-09-28 11:29:05,Dien thoai,1
2025-09-28 11:29:10,Nguoi,1
2025-09-28 11:29:10,Dien thoai,1
2025-09-28 11:29:15,Nguoi,1
2025-09-28 11:29:15,Dien thoai,1
2025-09-28 11:29:20,Nguoi,1
2025-09-28 11:29:20,Dien thoai,1
2025-09-28 11:29:25,Nguoi,2
2025-09-28 11:29:25,Dien thoai,1
2025-09-28 11:29:30,Nguoi,2
2025-09-28 11:29:30,Dien thoai,1
