Thoi_gian,Ten_do_vat,So_luong
2025-09-28 11:25:13,Nguoi,2
2025-09-28 11:25:18,Nguoi,2
2025-09-28 11:25:23,Nguoi,2
2025-09-28 11:25:28,Nguoi,2
2025-09-28 11:25:33,Nguoi,2
2025-09-28 11:25:33,Dieu khien tu xa,1
2025-09-28 11:25:38,Nguoi,2
2025-09-28 11:25:38,Dieu khien tu xa,1
2025-09-28 11:25:38,Dien thoai,1
2025-09-28 11:25:43,Nguoi,2
2025-09-28 11:25:43,Dieu khien tu xa,1
2025-09-28 11:25:43,Dien thoai,1
2025-09-28 11:25:48,Nguoi,2
2025-09-28 11:25:48,Dieu khien tu xa,1
2025-09-28 11:25:48,Dien thoai,1
2025-09-28 11:25:53,Nguoi,2
2025-09-28 11:25:53,Dieu khien tu xa,1
2025-09-28 11:25:53,Dien thoai,1
2025-09-28 11:25:58,Nguoi,2
2025-09-28 11:25:58,Dieu khien tu xa,1
2025-09-28 11:25:58,Dien thoai,1
2025-09-28 11:26:03,Nguoi,2
2025-09-28 11:26:03,Dieu khien tu xa,1
2025-09-28 11:26:03,Dien thoai,1
2025-09-28 11:26:08,Nguoi,2
2025-09-28 11:26:08,Dieu khien tu xa,1
2025-09-28 11:26:08,Dien thoai,1
2025-09-28 11:26:13,Nguoi,2
2025-09-28 11:26:13,Dieu khien tu xa,1
2025-09-28 11:26:13,Dien thoai,1
2025-09-28 11:26:18,Nguoi,2
2025-09-28 11:26:18,Dieu khien tu xa,1
2025-09-28 11:26:18,Dien thoai,1
2025-09-28 11:26:23,Nguoi,2
2025-09-28 11:26:23,Dieu khien tu xa,1
2025-09-28 11:26:23,Dien thoai,1
2025-09-28 11:26:23,Chai,1
2025-09-28 11:26:28,Nguoi,2
2025-09-28 11:26:28,Dieu khien tu xa,1
2025-09-28 11:26:28,Dien thoai,1
2025-09-28 11:26:28,Chai,1
2025-09-28 11:26:33,Nguoi,2
2025-09-28 11:26:33,Dieu khien tu xa,1
2025-09-28 11:26:33,Dien thoai,1
2025-09-28 11:26:33,Chai,1
2025-09-28 11:26:38,Nguoi,2
2025-09-28 11:26:38,Dieu khien tu xa,1
2025-09-28 11:26:38,Dien thoai,1
2025-09-28 11:26:38,Chai,1
2025-09-28 11:26:43,Nguoi,2
2025-09-28 11:26:43,Dieu khien tu xa,1
2025-09-28 11:26:43,Dien thoai,1
2025-09-28 11:26:43,Chai,1
2025-09-28 11:26:49,Nguoi,2
2025-09-28 11:26:49,Dieu khien tu xa,1
2025-09-28 11:26:49,Dien thoai,1
2025-09-28 11:26:49,Chai,1
2025-09-28 11:26:54,Nguoi,2
2025-09-28 11:26:54,Dieu khien tu xa,1
2025-09-28 11:26:54,Dien thoai,1
2025-09-28 11:26:54,Chai,1
2025-09-28 11:26:59,Nguoi,2
2025-09-28 11:26:59,Dieu khien tu xa,1
2025-09-28 11:26:59,Dien thoai,1
2025-09-28 11:26:59,Chai,1
2025-09-28 11:27:04,Nguoi,2
2025-09-28 11:27:04,Dieu khien tu xa,1
2025-09-28 11:27:04,Dien thoai,1
2025-09-28 11:27:04,Chai,1
2025-09-28 11:27:09,Nguoi,2
2025-09-28 11:27:09,Dieu khien tu xa,1
2025-09-28 11:27:09,Dien thoai,1
