Thoi_gian,Ten_do_vat,So_luong
2025-10-01 20:17:13,Nguoi,1
2025-10-01 20:17:18,Nguoi,1
2025-10-01 20:17:23,Nguoi,1
2025-10-01 20:17:28,Nguoi,1
2025-10-01 20:17:33,Nguoi,1
2025-10-01 20:17:38,Nguoi,1
2025-10-01 20:17:43,Nguoi,1
2025-10-01 20:17:48,Nguoi,1
2025-10-01 20:17:54,Nguoi,1
2025-10-01 20:17:59,Nguoi,1
2025-10-01 20:18:04,Nguoi,1
2025-10-01 20:18:09,Nguoi,1
2025-10-01 20:18:09,Laptop,1
2025-10-01 20:18:14,Nguoi,1
2025-10-01 20:18:14,Laptop,1
2025-10-01 20:18:19,Nguoi,1
2025-10-01 20:18:19,Laptop,1
2025-10-01 20:18:24,Nguoi,1
2025-10-01 20:18:24,Laptop,1
2025-10-01 20:18:29,Nguoi,1
2025-10-01 20:18:29,Laptop,1
2025-10-01 20:18:34,Nguoi,2
2025-10-01 20:18:34,Laptop,1
2025-10-01 20:18:39,Nguoi,2
2025-10-01 20:18:39,Laptop,1
2025-10-01 20:18:44,Nguoi,2
2025-10-01 20:18:44,Laptop,1
2025-10-01 20:18:49,Nguoi,2
2025-10-01 20:18:49,Laptop,1
2025-10-01 20:18:54,Nguoi,2
2025-10-01 20:18:54,Laptop,1
2025-10-01 20:18:59,Nguoi,2
2025-10-01 20:18:59,Laptop,1
2025-10-01 20:18:59,Ban chai danh rang,1
2025-10-01 20:19:04,Nguoi,2
2025-10-01 20:19:04,Laptop,1
2025-10-01 20:19:04,Ban chai danh rang,1
2025-10-01 20:19:04,Dien thoai,1
2025-10-01 20:19:09,Nguoi,2
2025-10-01 20:19:09,Laptop,1
2025-10-01 20:19:09,Ban chai danh rang,1
2025-10-01 20:19:09,Dien thoai,1
2025-10-01 20:19:14,Nguoi,2
2025-10-01 20:19:14,Laptop,1
2025-10-01 20:19:14,Ban chai danh rang,1
2025-10-01 20:19:14,Dien thoai,1
2025-10-01 20:19:19,Nguoi,2
2025-10-01 20:19:19,Laptop,1
2025-10-01 20:19:19,Ban chai danh rang,1
2025-10-01 20:19:19,Dien thoai,1
