Thoi_gian,Ten_do_vat,So_luong
2025-09-28 11:15:14,Người,1
2025-09-28 11:15:19,Người,1
2025-09-28 11:15:19,Điện thoại,1
2025-09-28 11:15:19,Bàn chải đánh răng,1
2025-09-28 11:15:24,Người,1
2025-09-28 11:15:24,Điện thoại,2
2025-09-28 11:15:24,Bàn chải đánh răng,1
2025-09-28 11:15:29,Người,1
2025-09-28 11:15:29,Điện thoại,2
2025-09-28 11:15:29,Bàn chải đánh răng,1
2025-09-28 11:15:34,Người,1
2025-09-28 11:15:34,Điện thoại,2
2025-09-28 11:15:34,Bàn chải đánh răng,1
2025-09-28 11:15:34,Điều khiển từ xa,1
2025-09-28 11:15:39,Người,1
2025-09-28 11:15:39,Điện thoại,2
2025-09-28 11:15:39,Bàn chải đánh răng,1
2025-09-28 11:15:39,Điều khiển từ xa,1
2025-09-28 11:15:44,Người,1
2025-09-28 11:15:44,Điện thoại,2
2025-09-28 11:15:44,Bàn chải đánh răng,1
2025-09-28 11:15:44,Điều khiển từ xa,1
